Code,Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Slurring_words,Excessive_anger,Hostile_behavior,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Hostile_behavior,,,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Slurring_words,Excessive_anger,Hostile_behavior,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Hostile_behavior,,,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Pelvic_pain,Absence_of_menstruation,Heavy_menstrual_flow,Long_menstrual_periods,Painful_menstruation,Cramps_and_spasms,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,Weight_gain,Heavy_menstrual_flow,Intermenstrual_bleeding,Long_menstrual_periods,Cramps_and_spasms,Hot_flashes,Acne_or_pimples,,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,,
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness,
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Insomnia,Joint_pain,Leg_weakness,,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Problems_with_movement,Paresthesia,Insomnia,,,
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Insomnia,Joint_pain,Leg_weakness,,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,,
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Problems_with_movement,Paresthesia,Insomnia,Joint_pain,Leg_weakness,
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Insomnia,Joint_pain,Leg_weakness,,,
7,Encephalitis,Headache,Seizures,Dizziness,Leg_pain,Fatigue,Problems_with_movement,Paresthesia,Insomnia,,,
7,Encephalitis,Headache,Seizures,Fatigue,Disturbance_of_memory,Problems_with_movement,Insomnia,Joint_pain,Leg_weakness,,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Pain_in_eye,Symptoms_of_eye,Diminished_vision,Itchiness_of_eye,Abnormal_movement_of_eyelid,Skin_rash,,,
8,Cyst of the eyelid,Mass_on_eyelid,Eyelid_lesion_or_rash,Diminished_vision,Wrinkles_on_skin,Itchiness_of_eye,Skin_rash,Muscle_swelling,Elbow_cramps_or_spasms,,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,,
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin,
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Penile_discharge,Skin_lesion,Itching_of_skin,,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Cough,Suprapubic_pain,Penile_discharge,,,
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Penile_discharge,Skin_lesion,Itching_of_skin,,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,,
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Cough,Suprapubic_pain,Penile_discharge,Skin_lesion,Itching_of_skin,
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Penile_discharge,Skin_lesion,Itching_of_skin,,,
9,Balanitis,Penis_redness,Diaper_rash,Skin_rash,Abnormal_appearing_skin,Fever,Cough,Suprapubic_pain,Penile_discharge,,,
9,Balanitis,Penis_redness,Diaper_rash,Fever,Painful_urination,Cough,Penile_discharge,Skin_lesion,Itching_of_skin,,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Cough,Shortness_of_breath,Difficulty_breathing,Infant_spitting_up,Paresthesia,Coughing_up_sputum,Throat_swelling,Infant_feeding_problem,Lymphedema
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Difficulty_breathing,Infant_spitting_up,Paresthesia,Coughing_up_sputum,Throat_swelling,Infant_feeding_problem,Lymphedema,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Cough,Shortness_of_breath,Difficulty_breathing,Infant_spitting_up,Paresthesia,Coughing_up_sputum,Throat_swelling,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Difficulty_breathing,Infant_spitting_up,Paresthesia,Coughing_up_sputum,Throat_swelling,Infant_feeding_problem,Lymphedema,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Cough,Shortness_of_breath,Difficulty_breathing,Paresthesia,Coughing_up_sputum,Throat_swelling,Infant_feeding_problem,Lymphedema,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Difficulty_breathing,Infant_spitting_up,Paresthesia,Throat_swelling,Infant_feeding_problem,Lymphedema,,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Cough,Shortness_of_breath,Difficulty_breathing,Paresthesia,Coughing_up_sputum,Throat_swelling,,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Difficulty_breathing,Infant_spitting_up,Paresthesia,Throat_swelling,Infant_feeding_problem,Lymphedema,,,
10,Foreign body in the throat,Difficulty_in_swallowing,Sore_throat,Cough,Shortness_of_breath,Difficulty_breathing,Infant_spitting_up,Paresthesia,Coughing_up_sputum,Throat_swelling,Infant_feeding_problem,Lymphedema
